date,Seizures,Sleeping Pills,Chocolate,Mood Swings,Anxiety,Depression,Sad songs,Lonely,Heartbreak
2017-06-04,0,100,75,0.0,0,61,0,18,0
2017-06-05,93,0,73,0.0,42,32,0,31,92
2017-06-06,0,0,65,0.0,88,30,0,29,0
2017-06-07,0,0,39,0.0,48,100,44,15,0
2017-06-08,0,0,33,0.0,30,51,45,30,0
2017-06-09,100,0,79,0.0,11,47,0,51,0
2017-06-10,54,0,73,0.0,12,25,0,73,0
2017-06-11,0,0,74,0.0,56,11,100,100,0
2017-06-12,0,81,60,0.0,38,88,0,57,0
2017-06-13,0,0,66,0.0,38,29,85,28,0
2017-06-14,0,0,53,0.0,89,10,0,74,0
2017-06-15,0,0,68,0.0,51,21,46,0,0
2017-06-16,0,0,93,0.0,12,48,0,35,0
2017-06-17,0,0,100,0.0,100,52,0,37,0
2017-06-18,48,0,51,0.0,54,11,0,33,0
2017-06-19,0,0,42,0.0,29,50,0,14,0
2017-06-20,0,0,82,0.0,76,20,0,0,0
2017-06-21,0,0,49,0.0,18,48,0,28,81
2017-06-22,41,0,53,0.0,37,29,0,42,82
2017-06-23,0,0,66,100.0,31,43,47,31,0
2017-06-24,52,0,67,0.0,35,97,0,71,0
2017-06-25,0,0,77,0.0,11,79,0,49,0
2017-06-26,44,0,49,95.0,39,51,44,15,0
2017-06-27,0,0,67,0.0,40,10,0,45,0
2017-06-28,45,0,57,0.0,40,31,0,76,0
2017-06-29,0,0,69,0.0,72,43,0,15,0
2017-06-30,0,98,92,0.0,23,0,0,35,0
2017-07-01,0,0,77,0.0,25,37,56,0,0
2017-07-02,96,100,88,0.0,45,17,0,34,0
2017-07-03,0,0,41,0.0,31,38,0,10,0
2017-07-04,0,0,81,0.0,21,15,93,32,0
2017-07-05,0,0,57,0.0,11,40,0,22,0
2017-07-06,0,0,78,0.0,32,24,48,22,0
2017-07-07,0,0,79,0.0,61,18,0,100,0
2017-07-08,0,0,51,0.0,27,0,0,14,0
2017-07-09,0,0,84,0.0,12,18,0,25,97
2017-07-10,0,0,60,0.0,100,17,0,23,0
2017-07-11,0,0,50,0.0,33,24,0,11,87
2017-07-12,0,0,44,0.0,54,16,0,33,0
2017-07-13,0,0,59,0.0,55,33,0,56,0
2017-07-14,0,0,78,0.0,36,27,0,12,0
2017-07-15,0,0,67,0.0,28,72,0,28,0
2017-07-16,0,0,90,0.0,48,18,54,0,0
2017-07-17,92,0,87,0.0,43,49,48,33,87
2017-07-18,0,0,54,0.0,56,42,100,34,0
2017-07-19,0,0,61,0.0,22,49,49,33,0
2017-07-20,0,48,61,0.0,43,16,0,0,86
2017-07-21,0,0,60,0.0,45,75,0,11,90
2017-07-22,0,55,90,0.0,87,56,56,13,100
2017-07-23,0,0,43,0.0,58,17,51,24,0
2017-07-24,0,0,53,0.0,31,100,46,42,83
2017-07-25,90,0,57,100.0,32,47,0,54,0
2017-07-26,0,0,75,0.0,62,54,46,32,83
2017-07-27,0,0,43,0.0,30,30,45,20,0
2017-07-28,100,0,73,0.0,82,35,0,84,0
2017-07-29,0,0,100,0.0,27,50,59,54,0
2017-07-30,0,52,70,0.0,24,44,53,36,0
2017-07-31,0,0,53,0.0,40,22,44,20,0
2017-08-01,0,51,50,0.0,85,46,0,50,0
2017-08-02,0,0,89,0.0,95,61,0,74,0
2017-08-03,52,0,75,0.0,100,24,0,65,0
2017-08-04,0,0,73,0.0,79,76,100,77,0
2017-08-05,0,68,78,0.0,0,30,0,0,100
2017-08-06,0,0,69,0.0,47,68,0,41,84
2017-08-07,0,50,64,0.0,31,45,0,24,0
2017-08-08,0,0,62,0.0,51,37,0,0,0
2017-08-09,0,0,44,0.0,30,51,0,47,0
2017-08-10,100,0,66,0.0,65,39,0,25,0
2017-08-11,0,0,100,0.0,73,26,0,100,0
2017-08-12,0,66,91,0.0,54,39,0,48,97
2017-08-13,0,0,60,0.0,92,25,0,13,0
2017-08-14,0,100,64,80.0,83,45,0,24,0
2017-08-15,0,0,43,83.0,32,100,0,37,76
2017-08-16,0,0,53,0.0,32,8,0,12,0
2017-08-17,0,0,78,0.0,11,31,0,37,0
2017-08-18,58,0,80,0.0,50,36,95,29,0
2017-08-19,60,0,83,100.0,39,37,0,45,92
2017-08-20,0,0,69,0.0,47,26,0,28,84
2017-08-21,0,0,50,0.0,53,31,0,25,0
2017-08-22,0,0,54,0.0,65,55,0,89,0
2017-08-23,0,53,67,0.0,66,47,0,38,78
2017-08-24,0,0,79,0.0,56,16,0,13,0
2017-08-25,0,0,55,0.0,38,9,0,0,0
2017-08-26,0,0,67,0.0,67,58,0,63,0
2017-08-27,53,0,76,0.0,11,90,0,26,81
2017-08-28,0,0,57,0.0,62,37,0,36,0
2017-08-29,0,0,81,0.0,64,62,0,50,76
2017-08-30,97,0,64,0.0,42,15,80,0,0
2017-08-31,0,0,74,0.0,43,31,0,25,0
2017-09-01,0,0,74,,17,59,89,23,0
2017-09-02,0,0,80,,27,77,0,74,0
2017-09-03,100,0,63,,82,94,0,45,45
2017-09-04,0,0,28,,74,42,0,20,0
2017-09-05,44,0,43,,36,83,0,20,40
2017-09-06,0,0,63,,50,81,0,0,39
2017-09-07,0,46,56,,29,63,78,40,0
2017-09-08,0,0,80,,25,93,0,45,0
2017-09-09,0,0,63,,26,50,0,24,0
2017-09-10,0,49,73,,39,100,83,21,86
2017-09-11,0,0,58,,21,71,76,39,0
2017-09-12,0,90,64,,65,41,0,59,0
2017-09-13,44,0,34,,43,21,0,20,0
2017-09-14,45,0,72,,37,31,0,20,0
2017-09-15,0,0,67,,41,24,0,23,0
2017-09-16,0,57,100,,27,26,0,50,100
2017-09-17,47,0,59,,100,55,0,42,0
2017-09-18,0,0,64,,36,71,0,78,0
2017-09-19,44,0,62,,51,72,0,40,0
2017-09-20,0,0,47,,29,84,0,60,0
2017-09-21,44,0,62,,29,52,78,100,0
2017-09-22,0,0,61,,25,72,0,0,0
2017-09-23,0,0,79,,34,24,0,46,0
2017-09-24,0,100,88,,16,68,0,87,0
2017-09-25,43,44,42,,57,91,0,19,0
2017-09-26,85,44,71,,56,50,0,19,0
2017-09-27,0,0,65,,59,42,0,61,0
2017-09-28,0,0,55,,23,11,0,63,0
2017-09-29,0,0,64,,18,25,0,98,0
2017-09-30,0,0,52,,28,80,100,26,52
2017-10-01,0,0,53,100.0,0,59,52,0,0
2017-10-02,0,89,56,0.0,39,100,48,43,0
2017-10-03,0,0,83,0.0,32,46,100,45,49
2017-10-04,0,0,58,0.0,57,58,50,15,49
2017-10-05,0,0,49,0.0,33,47,0,46,100
2017-10-06,41,0,64,0.0,18,51,0,17,0
2017-10-07,0,0,100,0.0,54,38,0,33,0
2017-10-08,37,0,68,0.0,16,23,0,15,0
2017-10-09,35,0,34,0.0,39,55,0,57,0
2017-10-10,0,0,62,0.0,39,45,97,0,0
2017-10-11,0,89,56,0.0,31,100,48,87,0
2017-10-12,0,93,45,0.0,24,23,0,30,0
2017-10-13,0,100,56,0.0,18,100,0,49,0
2017-10-14,44,0,73,0.0,10,69,0,18,0
2017-10-15,0,0,61,0.0,32,92,0,45,49
2017-10-16,0,83,52,0.0,36,62,0,13,0
2017-10-17,100,0,64,0.0,22,73,0,14,0
2017-10-18,34,0,39,0.0,22,21,0,0,0
2017-10-19,0,0,61,0.0,8,44,0,43,0
2017-10-20,0,0,49,0.0,35,50,0,16,0
2017-10-21,0,0,52,0.0,38,40,58,17,0
2017-10-22,41,0,82,0.0,63,26,0,100,0
2017-10-23,0,86,60,90.0,53,64,0,0,45
2017-10-24,0,0,41,0.0,29,63,0,95,0
2017-10-25,33,0,60,0.0,21,82,0,27,0
2017-10-26,0,0,38,0.0,59,21,0,28,45
2017-10-27,0,0,65,0.0,34,24,53,16,0
2017-10-28,0,0,69,0.0,37,65,0,34,0
2017-10-29,36,0,60,0.0,40,45,0,44,0
2017-10-30,34,84,59,0.0,37,42,46,27,0
2017-10-31,35,0,37,0.0,100,11,0,43,46
2017-11-01,0,0,45,0.0,46,53,0,67,0
2017-11-02,0,100,40,100.0,34,93,0,51,0
2017-11-03,93,37,35,0.0,25,59,0,19,56
2017-11-04,100,0,69,0.0,41,31,49,100,0
2017-11-05,90,0,65,0.0,73,99,0,18,0
2017-11-06,0,0,60,0.0,45,92,0,50,50
2017-11-07,0,0,33,0.0,33,13,0,32,0
2017-11-08,0,0,50,0.0,57,92,41,50,100
2017-11-09,86,0,51,0.0,70,54,84,0,0
2017-11-10,0,0,69,0.0,39,60,46,38,57
2017-11-11,0,0,100,0.0,56,65,100,62,62
2017-11-12,0,0,56,0.0,60,28,0,36,0
2017-11-13,81,0,61,96.0,33,13,0,16,0
2017-11-14,0,0,58,0.0,45,66,0,50,0
2017-11-15,0,0,39,0.0,56,92,0,33,50
2017-11-16,86,0,57,0.0,23,81,0,17,0
2017-11-17,0,0,61,0.0,26,46,0,77,0
2017-11-18,0,0,75,0.0,14,65,0,41,62
2017-11-19,0,0,57,0.0,25,29,44,36,54
2017-11-20,0,0,39,0.0,100,64,0,49,0
2017-11-21,0,0,50,0.0,23,53,0,67,0
2017-11-22,0,32,41,0.0,22,52,0,16,0
2017-11-23,0,0,40,0.0,35,54,41,85,0
2017-11-24,0,0,30,0.0,65,45,0,39,0
2017-11-25,0,0,73,0.0,71,83,0,84,0
2017-11-26,0,0,34,0.0,37,100,44,73,54
2017-11-27,0,0,35,0.0,44,51,0,48,0
2017-11-28,0,0,45,0.0,23,0,0,0,0
2017-11-29,0,34,54,0.0,81,27,0,0,0
2017-11-30,0,0,49,0.0,59,96,43,17,0
2017-12-01,100,0,46,0.0,14,15,0,24,0
2017-12-02,0,0,65,0.0,47,82,62,66,0
2017-12-03,0,0,36,0.0,54,28,53,45,49
2017-12-04,42,0,33,0.0,85,63,0,50,0
2017-12-05,43,0,44,0.0,49,39,0,72,0
2017-12-06,0,0,38,0.0,63,52,0,10,0
2017-12-07,0,0,46,0.0,51,27,0,42,46
2017-12-08,0,0,50,0.0,44,46,0,0,0
2017-12-09,0,0,36,0.0,77,65,61,13,0
2017-12-10,0,0,38,73.0,13,14,51,33,48
2017-12-11,0,0,59,68.0,60,38,0,50,0
2017-12-12,0,0,45,0.0,25,65,0,21,0
2017-12-13,44,0,41,0.0,100,0,49,21,0
2017-12-14,0,85,48,0.0,54,56,0,0,0
